"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
20001566,"  1566 Icarus (1949 MA)",1566,Icarus,,Y,Y,0,16.57,,,,,,,1.0,,0.51,2.2726,,0.774,0.520,,,,,,"JPL 182",2460600.5,60600,2024-10-17.0,J2000,0.8270,1.078,0.187,22.80,87.95,31.43,160.86,1.97,0.8805,2460417.82,2024-04-17.3,409,1.12,0.0342,13.3,3.22,5.3,2.3e-09,1.3e-09,2.7e-09,6.0e-07,2.3e-07,3.6e-07,4.9e-06,2.4e-09,1.6e-09,5.2e-06,7.5e-07,APO,"Otto Matic",27425,1949-07-01,2024-08-01,1755,10,13,0,.37282,,,,-3.6e-15,2.9e-16,,,,
20001620,"  1620 Geographos (1951 RA)",1620,Geographos,,Y,Y,0,15.27,,,,,,,2.56,5.0x2.0x2.1,0.290,5.22204,,0.862,0.471,,S,S,,0.15,"JPL 764",2460600.5,60600,2024-10-17.0,J2000,0.3356,1.246,0.828,13.34,337.15,277.01,289.36,1.66,0.709,2460700.14,2025-01-24.6,508,1.39,0.03,11.7,3.45,5.07,9.0e-10,2.0e-10,1.1e-09,4.1e-08,1.9e-07,2.2e-07,4.1e-07,2.6e-10,1.7e-10,5.9e-07,1.2e-07,APO,"Otto Matic",26433,1951-09-14,2024-01-27,8159,3,4,0,.29384,,,,-3.7e-15,2.4e-16,,,,
20001862,"  1862 Apollo (1932 HA)",1862,Apollo,,Y,Y,1,16.08,0.09,,,,,,1.5,,0.25,3.065,,0.819,0.481,,Q,Q,,,"JPL 534",2460600.5,60600,2024-10-17.0,J2000,0.5599,1.471,0.647,6.35,35.56,286.03,252.87,2.29,0.5527,2460794.35,2025-04-28.8,651,1.78,0.026,10.1,3.06,4.41,1.6e-09,1.7e-10,2.3e-09,7.3e-08,8.0e-07,6.6e-07,5.0e-07,2.7e-10,9.7e-11,9.3e-07,1.1e-07,APO,"Otto Matic",34041,1930-12-13,2024-02-24,3461,8,9,0,.46463,,,,-3.7e-15,2.0e-16,,,,
20001981,"  1981 Midas (1973 EA)",1981,Midas,,Y,Y,0,15.28,,,,,,,3.4,,,5.22,,,,,V,,,,"JPL 232",2460600.5,60600,2024-10-17.0,J2000,0.6505,1.776,0.621,39.82,356.80,267.84,258.81,2.93,0.4163,2460843.56,2025-06-17.0,865,2.37,0.00488,1.9,3.31,3.61,7.6e-10,1.9e-09,1.1e-09,1.5e-07,1.2e-07,1.6e-07,1.6e-06,3.2e-09,6.8e-10,4.2e-06,1.4e-06,APO,"Otto Matic",18496,1973-03-06,2023-10-26,1203,12,1,0,.45874,,,,,,,,,
20002101,"  2101 Adonis (1936 CA)",2101,Adonis,,Y,Y,0,18.72,,,,,,,0.6,,,,,,,,,,,,"JPL 47",2460600.5,60600,2024-10-17.0,J2000,0.7642,1.874,0.442,1.32,349.43,43.69,230.82,3.31,0.3842,2460936.75,2025-09-18.2,937,2.57,0.0116,4.51,2.15,3.55,5.9e-08,9.9e-09,1.1e-07,9.6e-06,4.5e-04,4.5e-04,1.0e-05,1.8e-08,3.1e-09,2.8e-05,7.5e-06,APO,"Otto Matic",30790,1936-02-21,2020-06-09,123,0,5,0,.39458,,,,-3.3e-14,5.7e-15,,,,
20002102,"  2102 Tantalus (1975 YA)",2102,Tantalus,,Y,Y,0,16.00,,,,,,,1.649,,0.245,2.384,,,,,Q,,,0.04,"JPL 260",2460600.5,60600,2024-10-17.0,J2000,0.2993,1.29,0.904,64.00,94.35,61.52,78.27,1.68,0.6726,2460484.14,2024-06-22.6,535,1.47,0.0436,17,3.77,4.45,4.2e-10,2.4e-10,5.8e-10,8.7e-08,8.5e-08,1.2e-07,5.6e-07,3.2e-10,1.9e-10,7.9e-07,1.5e-07,APO,"Otto Matic",17388,1976-01-02,2023-08-11,2148,1,0,0,.38887,,,,,,,,,
20002135,"  2135 Aristaeus (1977 HA)",2135,Aristaeus,,Y,Y,0,18.05,,,,,,,,,,,,,,,,,,,"JPL 24",2460600.5,60600,2024-10-17.0,J2000,0.5030,1.6,0.795,23.07,191.11,290.97,202.31,2.40,0.4871,2460924.20,2025-09-05.7,739,2.02,0.011,4.26,2.96,4.13,1.3e-06,8.2e-08,2.0e-06,5.1e-05,3.4e-04,1.6e-04,7.7e-04,1.2e-07,3.8e-08,1.6e-03,5.7e-05,APO,"Otto Matic",15749,1977-04-17,2020-05-30,61,,,1,.54865,,,,,,,,,
20002201,"  2201 Oljato (1947 XC)",2201,Oljato,,Y,Y,0,15.36,,,,,,,1.80,,0.4328,26,,,,,Sq,,,0.10,"JPL 268",2460600.5,60600,2024-10-17.0,J2000,0.7107,2.179,0.630,2.52,74.87,98.37,334.42,3.73,0.3065,2460683.95,2025-01-08.4,1.17e+03,3.22,0.00259,1.01,1.25,3.3,3.0e-09,1.4e-09,6.7e-09,1.3e-07,4.9e-06,5.1e-06,8.3e-07,2.4e-09,3.0e-10,2.8e-06,1.2e-06,APO,"Otto Matic",33906,1931-12-03,2024-10-01,1412,0,5,0,.50849,,,,,,,,,
20003200,"  3200 Phaethon (1983 TB)",3200,Phaethon,,Y,Y,0,14.40,,,,,,,6.25,,0.1066,3.604,,,,,B,F,,0.15,"JPL 804",2460600.5,60600,2024-10-17.0,J2000,0.8898,1.271,0.140,22.31,265.10,322.31,248.98,2.40,0.6875,2460762.00,2025-03-27.4,524,1.43,0.0187,7.27,2.73,4.51,4.7e-10,6.7e-10,6.2e-10,9.4e-08,1.7e-07,1.5e-07,9.8e-07,1.3e-09,5.4e-10,1.6e-06,4.1e-07,APO,"Otto Matic",14948,1983-10-27,2024-09-29,7052,8,0,0,.34873,,,,-6.2e-15,3.6e-16,,,,
20003361,"  3361 Orpheus (1982 HR)",3361,Orpheus,,Y,Y,0,19.56,,,,,,,0.3,,0.357,3.5327,,1.022,0.503,,,,,,"JPL 185",2460600.5,60600,2024-10-17.0,J2000,0.3229,1.21,0.820,2.66,188.68,302.34,24.54,1.60,0.7401,2460567.34,2024-09-13.8,486,1.33,0.0138,5.37,3.45,5.21,3.6e-08,1.9e-09,4.4e-08,2.3e-06,3.6e-05,3.6e-05,2.0e-06,2.5e-09,1.7e-09,2.7e-06,1.1e-06,APO,"Otto Matic",14651,1982-04-24,2022-06-04,2744,2,0,0,.2206,,,,1.9e-14,2.4e-15,,,,
20003671,"  3671 Dionysus (1984 KD)",3671,Dionysus,,Y,Y,1,16.50,,,,,,,1.5,,0.16,2.7053,,,,,Cb,,,,"JPL 210",2460600.5,60600,2024-10-17.0,J2000,0.5420,2.2,1.008,13.54,82.05,204.33,131.35,3.39,0.302,2460165.58,2023-08-09.0,1.19e+03,3.26,0.022,8.58,1.83,3.43,1.9e-08,1.1e-09,4.2e-08,4.0e-06,1.4e-05,1.6e-05,4.9e-06,1.6e-09,2.2e-10,1.6e-05,8.5e-07,APO,"Otto Matic",14475,1984-05-27,2024-01-13,1117,,,0,.38985,,,,,,,,,
20003757,"  3757 Anagolay (1982 XB)",3757,Anagolay,,Y,Y,0,19.04,,,,,,,0.5,,0.18,9.012,,0.859,0.522,,,S,,,"JPL 57",2460600.5,60600,2024-10-17.0,J2000,0.4459,1.834,1.017,3.87,74.93,17.24,293.70,2.65,0.3967,2460767.65,2025-04-02.1,908,2.48,0.0372,14.5,2.58,3.9,4.2e-08,2.2e-09,7.7e-08,5.4e-06,6.0e-05,6.3e-05,1.3e-05,3.2e-09,7.3e-10,3.3e-05,1.7e-06,APO,"Otto Matic",15208,1982-12-14,2024-08-03,209,0,2,0,.71842,,,,,,,,,
20004015,"  4015 Wilson-Harrington (1979 VA)",4015,Wilson-Harrington,,Y,Y,0,16.19,,,,,,,4,,0.05,3.5736,,0.666,0.279,,,CF,,0.50,"JPL 331",2460600.5,60600,2024-10-17.0,J2000,0.6312,2.626,0.968,2.80,266.73,95.52,181.75,4.28,0.2317,2461369.95,2026-11-25.4,1.55e+03,4.25,0.0429,16.7,1.22,3.08,2.4e-08,3.4e-09,6.4e-08,4.0e-06,6.8e-05,6.8e-05,2.3e-06,5.5e-09,4.5e-10,1.1e-05,3.0e-06,APO,"Otto Matic",27140,1949-11-19,2024-03-10,1514,,,0,.37033,,,,,,,,,
20004034,"  4034 Vishnu (1986 PA)",4034,Vishnu,,Y,Y,0,18.52,,,,,,,0.42,,0.52,44.4,,,,,O,,,,"JPL 138",2460600.5,60600,2024-10-17.0,J2000,0.4441,1.06,0.589,11.17,157.89,296.70,260.40,1.53,0.9037,2460710.71,2025-02-04.2,398,1.09,0.0195,7.6,3.69,5.7,4.4e-08,3.7e-09,4.7e-08,3.6e-06,1.8e-05,1.7e-05,1.3e-05,5.3e-09,4.7e-09,1.5e-05,2.1e-06,APO,"Otto Matic",13881,1986-08-02,2024-08-03,808,0,1,0,.40254,,,,-4.0e-14,5.3e-15,,,,
20004179,"  4179 Toutatis (1989 AC)",4179,Toutatis,,Y,Y,0,15.31,0.10,,,,,,5.4,1.70x2.03x4.26,0.405,176.,,,,,Sk,,,,"JPL 644",2460600.5,60600,2024-10-17.0,J2000,0.6248,2.543,0.954,0.45,125.36,277.88,339.68,4.13,0.243,2460684.14,2025-01-08.6,1.48e+03,4.06,0.00649,2.53,1.3,3.14,3.8e-10,1.1e-09,8.2e-10,6.3e-08,1.1e-05,1.1e-05,3.7e-07,1.9e-09,1.6e-10,1.6e-06,1.0e-06,APO,"Otto Matic",33096,1934-02-10,2024-09-21,6794,33,28,0,.29208,,-7.4e-13,7.7e-14,-2.3e-14,4.0e-15,,,,
20004183,"  4183 Cuno (1959 LM)",4183,Cuno,,Y,Y,0,14.17,,,,,,,3.651,,0.097,3.5595,,,,,Sq,,,0.10,"JPL 649",2460600.5,60600,2024-10-17.0,J2000,0.6361,1.981,0.721,6.67,294.35,237.02,175.91,3.24,0.3536,2460102.94,2023-06-07.4,1.02e+03,2.79,0.0281,10.9,1.8,3.57,8.6e-10,1.6e-10,1.7e-09,7.0e-08,4.8e-07,5.3e-07,4.6e-07,2.6e-10,4.2e-11,1.3e-06,1.2e-07,APO,"Otto Matic",23858,1959-06-05,2024-09-29,3808,1,0,0,.43253,,,,,,,,,
20004450,"  4450 Pan (1987 SY)",4450,Pan,,Y,Y,0,17.28,,,,,,,,,,56.48,,,,,,,,,"JPL 259",2460600.5,60600,2024-10-17.0,J2000,0.5866,1.443,0.596,5.52,311.70,291.94,192.17,2.29,0.5689,2460895.52,2025-08-08.0,633,1.73,0.0289,11.2,2.76,4.46,2.0e-08,2.6e-09,2.8e-08,3.3e-06,2.0e-05,1.9e-05,1.0e-05,4.2e-09,1.6e-09,1.9e-05,1.7e-06,APO,"Otto Matic",31367,1937-02-06,2022-12-24,1513,1,0,0,.436,,,,,,,,,
20004486,"  4486 Mithra (1987 SB)",4486,Mithra,,Y,Y,0,15.61,,,,,,,1.849,"2.35 x 1.65 x 1.44",0.297,67.5,,,,,,,,0.02,"JPL 363",2460600.5,60600,2024-10-17.0,J2000,0.6620,2.205,0.745,3.04,82.18,169.12,156.61,3.67,0.3009,2460080.09,2023-05-15.5,1.2e+03,3.28,0.0462,18,1.39,3.33,1.3e-08,7.9e-10,2.9e-08,1.5e-06,4.3e-05,4.3e-05,2.1e-06,1.3e-09,1.6e-10,6.6e-06,6.4e-07,APO,"Otto Matic",13460,1987-01-29,2023-12-06,1882,8,9,0,.39666,,,,,,,,,
20004581,"  4581 Asclepius (1989 FC)",4581,Asclepius,,Y,Y,0,20.74,,,,,,,,,,8.008,,,,,,,,,"JPL 112",2460600.5,60600,2024-10-17.0,J2000,0.3570,1.023,0.658,4.92,180.20,255.38,212.12,1.39,0.9531,2460755.66,2025-03-21.1,378,1.03,0.00313,1.22,3.88,5.91,6.0e-08,5.1e-09,5.8e-08,2.5e-06,2.0e-05,2.0e-05,2.3e-05,7.0e-09,7.2e-09,2.5e-05,2.8e-06,APO,"Otto Matic",11706,1989-03-31,2021-04-18,424,2,2,0,.47405,,,,-3.6e-14,6.0e-15,,,,
20004660,"  4660 Nereus (1982 DB)",4660,Nereus,,Y,Y,0,18.75,,,,,,,0.33,,0.55,15.1749,,,,,Xe,,,0.05,"JPL 277",2460600.5,60600,2024-10-17.0,J2000,0.3587,1.485,0.952,1.45,313.11,159.54,191.96,2.02,0.5446,2460909.06,2025-08-21.5,661,1.81,0.00367,1.43,3.11,4.5,6.4e-10,3.2e-09,3.0e-09,1.7e-07,9.1e-06,9.9e-06,1.4e-06,4.4e-09,1.8e-09,3.6e-06,2.2e-06,APO,"Otto Matic",15434,1981-09-30,2024-01-02,4994,20,17,0,.20923,,,,1.4e-14,6.6e-15,,,,
